    Time[s]      Count Rate[Counts/ms]
   52.869503        24.00
   52.870003        28.00
   52.870503        30.00
   52.871003        14.00
   52.871503        34.00
   52.872003        40.00
   52.872503        34.00
   52.873003        54.00
   52.873503        66.00
   52.874003        72.00
   52.874503        88.00
   52.875003        72.00
   52.875503        92.00
   52.876003        34.00
   52.876503        20.00
   52.877003        16.00
   52.877503        38.00
   52.878003        22.00
   52.878503        16.00
   52.879003        44.00
   52.879503        52.00
   52.880003        70.00
   52.880503        66.00
   52.881003        74.00
   52.881503        48.00
   52.882003         8.00
   52.882503        14.00
   52.883003        18.00
   52.883503         6.00
   52.884003        14.00
   52.884503        42.00
   52.885003         4.00
   52.885503        14.00
   52.886003        48.00
   52.886503        48.00
   52.887003        52.00
   52.887503        68.00
   52.888003        74.00
   52.888503        50.00
   52.889003        94.00
   52.889503        50.00
   52.890003        56.00
   52.890503        64.00
   52.891003        38.00
   52.891503        56.00
   52.892003        36.00
   52.892503        24.00
   52.893003        44.00
   52.893503        16.00
   52.894003        18.00
   52.894503        28.00
   52.895003        50.00
   52.895503        44.00
   52.896003        40.00
   52.896503        32.00
   52.897003         8.00
   52.897503        10.00
   52.898003        10.00
   52.898503        22.00
   52.899003         8.00
   52.899503        38.00
   52.900003        56.00
   52.900503        50.00
   52.901003        20.00
   52.901503        20.00
   52.902003        22.00
   52.902503        22.00
   52.903003        66.00
   52.903503        44.00
   52.904003        92.00
   52.904503       104.00
   52.905003        88.00
   52.905503        86.00
   52.906003       106.00
   52.906503       100.00
   52.907003        56.00
   52.907503        44.00
   52.908003        38.00
   52.908503        32.00
   52.909003        20.00
   52.909503         6.00
   52.910003        18.00
   52.910503         2.00
   52.911003         6.00
   52.911503        16.00
   52.912003        42.00
   52.912503         4.00
   52.913003        12.00
   52.913503         4.00
   52.914003         2.00
   52.914503         2.00
   52.915003         2.00
   52.915503         0.00
   52.916003         0.00
   52.916503         4.00
   52.917003         2.00
   52.917503         2.00
   52.918003         0.00
   52.918503         6.00
   52.919003         0.00
   52.919503         0.00
   52.920003         2.00
   52.920503         8.00
   52.921003         2.00
   52.921503        12.00
   52.922003         6.00
   52.922503        14.00
   52.923003        30.00
   52.923503        38.00
   52.924003        28.00
   52.924503        10.00
   52.925003         2.00
   52.925503         6.00
   52.926003         4.00
   52.926503         0.00
   52.927003         6.00
   52.927503         4.00
   52.928003         4.00
   52.928503         4.00
   52.929003         4.00
   52.929503         2.00
   52.930003         4.00
   52.930503         8.00
   52.931003         2.00
   52.931503        12.00
   52.932003        40.00
   52.932503        12.00
   52.933003        26.00
   52.933503        22.00
   52.934003        26.00
   52.934503        18.00
   52.935003        32.00
   52.935503        12.00
   52.936003         6.00
   52.936503         0.00
   52.937003         2.00
   52.937503         6.00
   52.938003        42.00
   52.938503        10.00
   52.939003         0.00
   52.939503        28.00
   52.940003        16.00
   52.940503        32.00
   52.941003        16.00
   52.941503        16.00
   52.942003        22.00
   52.942503        18.00
   52.943003        28.00
   52.943503        40.00
   52.944003        92.00
   52.944503        70.00
   52.945003        52.00
   52.945503        58.00
   52.946003        42.00
   52.946503        48.00
   52.947003        60.00
   52.947503        74.00
   52.948003        74.00
   52.948503        74.00
   52.949003        80.00
   52.949503        84.00
   52.950003        42.00
   52.950503        16.00
   52.951003         0.00
   52.951503         6.00
   52.952003         8.00
   52.952503        24.00
   52.953003        26.00
   52.953503        18.00
   52.954003         6.00
   52.954503         4.00
   52.955003         6.00
   52.955503         8.00
   52.956003         4.00
   52.956503         8.00
   52.957003        12.00
   52.957503        18.00
   52.958003        36.00
   52.958503        10.00
   52.959003        16.00
   52.959503         4.00
   52.960003         4.00
   52.960503         4.00
   52.961003         2.00
   52.961503         2.00
   52.962003         0.00
   52.962503         2.00
   52.963003         4.00
   52.963503         2.00
   52.964003         2.00
   52.964503         4.00
   52.965003         4.00
   52.965503         0.00
   52.966003         0.00
   52.966503         2.00
   52.967003         0.00
   52.967503         0.00
   52.968003         2.00
   52.968503         0.00
   52.969003         0.00
   52.969503         0.00
   52.970003         2.00
   52.970503         4.00
   52.971003         2.00
   52.971503         2.00
   52.972003         2.00
   52.972503         0.00
   52.973003         2.00
   52.973503         4.00
   52.974003         6.00
   52.974503         0.00
   52.975003         2.00
   52.975503         0.00
   52.976003         0.00
   52.976503         0.00
   52.977003         0.00
   52.977503         2.00
   52.978003         2.00
   52.978503         2.00
   52.979003         0.00
   52.979503        16.00
   52.980003        28.00
   52.980503        24.00
   52.981003         6.00
   52.981503        18.00
   52.982003        26.00
   52.982503        14.00
   52.983003        46.00
   52.983503        38.00
   52.984003        38.00
   52.984503        24.00
   52.985003        34.00
   52.985503        42.00
   52.986003        32.00
   52.986503        32.00
   52.987003        10.00
   52.987503         6.00
   52.988003         8.00
   52.988503         0.00
   52.989003        12.00
   52.989503         4.00
   52.990003        32.00
   52.990503        52.00
   52.991003       100.00
   52.991503       102.00
   52.992003       128.00
   52.992503        76.00
   52.993003        52.00
   52.993503        72.00
   52.994003        32.00
   52.994503        24.00
   52.995003         8.00
   52.995503        16.00
   52.996003        28.00
   52.996503        24.00
   52.997003         6.00
   52.997503         4.00
   52.998003        14.00
   52.998503         4.00
   52.999003         6.00
   52.999503        10.00
   53.000003         4.00
   53.000503         2.00
   53.001003        16.00
   53.001503         2.00
   53.002003         8.00
   53.002503         2.00
   53.003003         2.00
   53.003503         4.00
   53.004003        20.00
   53.004503        14.00
   53.005003         4.00
   53.005503         6.00
   53.006003         4.00
   53.006503        10.00
   53.007003         8.00
   53.007503         6.00
   53.008003         0.00
   53.008503        12.00
   53.009003         4.00
   53.009503         2.00
   53.010003        34.00
   53.010503        30.00
   53.011003        14.00
   53.011503         8.00
   53.012003         2.00
   53.012503        10.00
   53.013003         2.00
   53.013503        20.00
   53.014003        20.00
   53.014503        46.00
   53.015003        54.00
   53.015503        44.00
   53.016003        48.00
   53.016503        10.00
   53.017003        10.00
   53.017503         4.00
   53.018003         4.00
   53.018503        18.00
   53.019003         4.00
   53.019503        12.00
   53.020003         2.00
   53.020503         4.00
   53.021003        18.00
   53.021503         4.00
   53.022003         4.00
   53.022503        12.00
   53.023003        26.00
   53.023503        26.00
   53.024003         6.00
   53.024503         8.00
   53.025003        24.00
   53.025503        22.00
   53.026003        26.00
   53.026503        34.00
   53.027003        32.00
   53.027503        24.00
   53.028003        22.00
   53.028503        38.00
   53.029003        46.00
   53.029503        54.00
   53.030003        58.00
   53.030503        84.00
   53.031003        44.00
   53.031503        20.00
   53.032003        22.00
   53.032503        38.00
   53.033003        74.00
   53.033503       106.00
   53.034003       110.00
   53.034503       102.00
   53.035003        90.00
   53.035503        50.00
   53.036003        26.00
   53.036503        40.00
   53.037003        42.00
   53.037503        50.00
   53.038003        38.00
   53.038503        44.00
   53.039003        30.00
   53.039503         6.00
   53.040003         4.00
   53.040503         2.00
   53.041003        10.00
   53.041503        14.00
   53.042003        48.00
   53.042503        22.00
   53.043003        20.00
   53.043503        32.00
   53.044003        36.00
   53.044503        34.00
   53.045003        18.00
   53.045503        44.00
   53.046003        36.00
   53.046503        52.00
   53.047003        14.00
   53.047503        16.00
   53.048003        12.00
   53.048503        32.00
   53.049003        20.00
   53.049503        16.00
   53.050003        14.00
   53.050503        30.00
   53.051003         8.00
   53.051503         8.00
   53.052003        28.00
   53.052503        24.00
   53.053003        26.00
   53.053503        18.00
   53.054003        22.00
   53.054503        30.00
   53.055003         4.00
   53.055503         8.00
   53.056003         4.00
   53.056503         8.00
   53.057003        10.00
   53.057503        28.00
   53.058003        24.00
   53.058503         6.00
   53.059003        10.00
   53.059503        16.00
   53.060003        16.00
   53.060503        10.00
   53.061003         8.00
   53.061503         6.00
   53.062003         2.00
   53.062503         8.00
   53.063003        20.00
   53.063503        10.00
   53.064003        16.00
   53.064503         4.00
   53.065003         2.00
   53.065503        14.00
   53.066003        34.00
   53.066503        38.00
   53.067003        36.00
   53.067503        56.00
   53.068003        74.00
   53.068503        70.00
   53.069003        56.00
   53.069503        36.00
   53.070003        20.00
   53.070503        20.00
   53.071003        12.00
   53.071503        42.00
   53.072003        20.00
   53.072503        16.00
   53.073003         4.00
   53.073503         8.00
   53.074003        12.00
   53.074503         4.00
   53.075003         2.00
   53.075503         0.00
   53.076003         0.00
   53.076503         0.00
   53.077003         8.00
   53.077503        18.00
   53.078003         6.00
   53.078503         0.00
   53.079003         4.00
   53.079503         4.00
   53.080003         2.00
   53.080503         2.00
   53.081003         2.00
   53.081503         4.00
   53.082003         2.00
   53.082503         2.00
   53.083003        30.00
   53.083503        32.00
   53.084003        36.00
   53.084503        24.00
   53.085003        18.00
   53.085503        34.00
   53.086003         8.00
   53.086503        18.00
   53.087003        18.00
   53.087503        16.00
   53.088003        28.00
   53.088503        34.00
   53.089003        12.00
   53.089503        46.00
   53.090003        34.00
   53.090503        36.00
   53.091003        34.00
   53.091503        62.00
   53.092003        30.00
   53.092503         4.00
   53.093003        18.00
   53.093503        24.00
   53.094003        22.00
   53.094503        42.00
   53.095003        36.00
   53.095503        18.00
   53.096003        20.00
   53.096503        46.00
   53.097003         2.00
   53.097503        14.00
   53.098003        30.00
   53.098503        22.00
   53.099003         2.00
   53.099503         0.00
   53.100003         2.00
   53.100503         6.00
   53.101003         0.00
   53.101503         4.00
   53.102003         2.00
   53.102503         2.00
   53.103003         6.00
   53.103503         2.00
   53.104003        16.00
   53.104503         2.00
   53.105003         4.00
   53.105503        40.00
   53.106003        54.00
   53.106503        38.00
   53.107003        28.00
   53.107503        14.00
   53.108003         4.00
   53.108503         6.00
   53.109003         2.00
   53.109503         4.00
   53.110003         8.00
   53.110503         6.00
   53.111003         0.00
   53.111503        10.00
   53.112003        14.00
   53.112503         0.00
   53.113003        10.00
   53.113503         8.00
   53.114003         4.00
   53.114503         0.00
   53.115003         4.00
   53.115503        22.00
   53.116003        28.00
   53.116503        20.00
   53.117003        16.00
   53.117503         0.00
   53.118003         2.00
   53.118503        12.00
   53.119003        18.00
   53.119503        28.00
   53.120003        24.00
   53.120503        12.00
   53.121003        26.00
   53.121503        42.00
   53.122003        20.00
   53.122503        22.00
   53.123003        20.00
   53.123503        18.00
   53.124003        10.00
   53.124503        10.00
   53.125003        14.00
   53.125503        14.00
   53.126003         8.00
