    Time[s]      Count Rate[Counts/ms]
   50.749999         0.00
   50.754999         0.00
   50.759999         0.20
   50.764999         0.20
   50.769999         0.00
   50.774999         0.40
   50.779999         0.40
   50.784999         0.00
   50.789999         0.00
   50.794999         0.40
   50.799999         0.00
   50.804999         0.20
   50.809999         0.80
   50.814999         0.20
   50.819999         0.40
   50.824999         0.20
   50.829999         0.00
   50.834999         0.20
   50.839999         0.20
   50.844999         0.00
   50.849999         0.00
   50.854999         0.20
   50.859999         0.20
   50.864999         0.00
   50.869999         0.20
   50.874999         0.00
   50.879999         0.00
   50.884999         0.00
   50.889999         0.00
   50.894999         0.40
   50.899999         0.40
   50.904999         0.00
   50.909999         0.40
   50.914999         0.00
   50.919999         2.00
   50.924999         4.20
   50.929999         5.60
   50.934999         4.80
   50.939999         4.20
   50.944999         5.20
   50.949999         4.60
   50.954999         5.20
   50.959999         5.60
   50.964999         5.60
   50.969999         4.00
   50.974999         3.00
   50.979999         5.80
   50.984999         5.60
   50.989999         4.60
   50.994999         5.80
   50.999999         4.20
   51.004999         5.40
   51.009999         4.00
   51.014999         7.60
   51.019999         5.60
   51.024999         7.80
   51.029999         3.20
   51.034999         5.00
   51.039999         4.80
   51.044999         3.40
   51.049999         4.80
   51.054999         4.60
   51.059999         5.80
   51.064999         3.00
   51.069999         5.00
   51.074999         4.40
   51.079999         3.80
   51.084999         7.20
   51.089999         5.00
   51.094999         5.40
   51.099999         5.40
   51.104999         4.40
   51.109999         5.60
   51.114999         6.80
   51.119999         4.40
   51.124999         4.20
   51.129999         4.40
   51.134999         2.40
   51.139999         5.40
   51.144999         5.40
   51.149999         4.00
   51.154999         6.80
   51.159999         3.80
   51.164999         5.80
   51.169999         3.20
   51.174999         3.60
   51.179999         4.60
   51.184999         6.00
   51.189999         4.00
   51.194999         5.00
   51.199999         4.60
   51.204999         5.20
   51.209999         4.80
   51.214999         5.00
   51.219999         4.80
   51.224999         4.20
   51.229999         3.60
   51.234999         4.00
   51.239999         0.20
   51.244999         0.00
   51.249999         0.40
   51.254999         0.20
   51.259999         0.40
   51.264999         0.00
   51.269999         0.00
   51.274999         0.00
   51.279999         0.00
   51.284999         0.00
   51.289999         0.20
   51.294999         0.20
   51.299999         0.00
   51.304999         0.00
   51.309999         0.20
   51.314999         0.00
   51.319999         0.00
   51.324999         0.00
   51.329999         0.20
   51.334999         0.00
   51.339999         0.40
   51.344999         0.20
   51.349999         0.00
   51.354999         0.20
   51.359999         0.00
   51.364999         0.40
   51.369999         0.20
   51.374999         0.20
   51.379999         0.00
   51.384999         0.00
   51.389999         0.00
   51.394999         0.20
   51.399999         0.00
   51.404999         0.00
   51.409999         0.20
   51.414999         0.40
   51.419999         0.00
   51.424999         0.20
   51.429999         0.20
   51.434999         0.00
   51.439999         0.40
   51.444999         0.60
   51.449999         0.20
   51.454999         0.40
   51.459999         0.00
   51.464999         0.00
   51.469999         0.00
   51.474999         0.00
   51.479999         0.00
   51.484999         0.00
   51.489999         0.20
   51.494999         0.20
   51.499999         0.00
   51.504999         0.40
   51.509999         0.20
   51.514999         0.00
   51.519999         0.00
   51.524999         0.40
   51.529999         0.00
   51.534999         0.20
   51.539999         0.20
   51.544999         0.00
   51.549999         0.20
   51.554999         0.40
   51.559999         0.20
   51.564999         0.20
   51.569999         0.00
   51.574999         0.20
   51.579999         0.20
   51.584999         0.40
   51.589999         0.40
   51.594999         0.20
   51.599999         0.00
   51.604999         0.00
   51.609999         0.00
   51.614999         0.40
   51.619999         0.20
   51.624999         0.20
   51.629999         0.40
   51.634999         0.20
   51.639999         0.00
   51.644999         0.20
   51.649999         0.40
   51.654999         0.00
   51.659999         0.00
   51.664999         0.00
   51.669999         0.20
   51.674999         0.00
   51.679999         0.20
   51.684999         0.60
   51.689999         0.00
   51.694999         0.40
   51.699999         0.20
   51.704999         0.20
   51.709999         0.20
   51.714999         0.00
   51.719999         0.00
   51.724999         0.00
   51.729999         0.40
   51.734999         0.00
   51.739999         0.00
   51.744999         0.40
   51.749999         0.00
   51.754999         0.00
   51.759999         0.00
   51.764999         0.40
   51.769999         0.00
   51.774999         0.20
   51.779999         0.00
   51.784999         0.20
   51.789999         0.00
   51.794999         0.40
   51.799999         2.80
   51.804999         2.60
   51.809999         3.00
   51.814999         4.00
   51.819999         4.00
   51.824999         6.00
   51.829999         6.40
   51.834999         4.00
   51.839999         5.40
   51.844999         3.00
   51.849999         5.40
   51.854999         3.60
   51.859999         3.40
   51.864999         3.80
   51.869999         4.60
   51.874999         2.60
   51.879999         3.80
   51.884999         5.40
   51.889999         4.20
   51.894999         5.00
   51.899999         5.00
   51.904999         4.80
   51.909999         4.00
   51.914999         3.60
   51.919999         2.20
   51.924999         4.40
   51.929999         5.00
   51.934999         2.60
   51.939999         3.40
   51.944999         2.60
   51.949999         3.80
   51.954999         3.60
   51.959999         2.80
   51.964999         5.20
   51.969999         3.40
   51.974999         4.80
   51.979999         4.00
   51.984999         6.00
   51.989999         6.80
   51.994999         5.20
   51.999999         4.20
   52.004999         5.60
   52.009999         5.60
   52.014999         5.00
   52.019999         5.00
   52.024999         4.60
   52.029999         4.00
   52.034999         2.60
   52.039999         4.60
   52.044999         4.80
   52.049999         5.40
   52.054999         3.40
   52.059999         6.20
   52.064999         4.60
   52.069999         2.40
   52.074999         3.40
   52.079999         4.80
   52.084999         5.40
   52.089999         5.80
   52.094999         2.80
   52.099999         6.60
   52.104999         3.80
   52.109999         3.40
   52.114999         5.00
   52.119999         4.60
   52.124999         2.80
   52.129999         5.00
   52.134999         5.20
   52.139999         4.00
   52.144999         3.00
   52.149999         4.60
   52.154999         3.20
   52.159999         5.20
   52.164999         3.20
   52.169999         4.80
   52.174999         5.40
   52.179999         2.40
   52.184999         6.40
   52.189999         5.00
   52.194999         4.20
   52.199999         5.20
   52.204999         5.40
   52.209999         7.60
   52.214999         5.00
   52.219999         5.20
   52.224999         4.20
   52.229999         4.00
   52.234999         3.80
   52.239999         3.40
   52.244999         4.80
   52.249999         4.00
   52.254999         3.60
   52.259999         4.60
   52.264999         6.00
   52.269999         0.60
   52.274999         0.00
   52.279999         3.60
   52.284999         4.20
   52.289999         4.00
   52.294999         4.60
   52.299999         5.40
   52.304999         5.20
   52.309999         1.20
   52.314999         0.20
   52.319999         0.00
   52.324999         0.40
   52.329999         0.20
   52.334999         0.20
   52.339999         0.00
   52.344999         0.00
   52.349999         0.20
   52.354999         0.00
   52.359999         0.20
   52.364999         0.20
   52.369999         0.00
   52.374999         0.40
   52.379999         0.00
   52.384999         0.00
   52.389999         0.00
   52.394999         0.40
   52.399999         0.20
   52.404999         0.20
   52.409999         0.40
   52.414999         0.20
   52.419999         0.00
   52.424999         0.20
   52.429999         0.20
   52.434999         0.40
   52.439999         0.20
   52.444999         0.20
   52.449999         0.00
   52.454999         0.20
   52.459999         0.40
   52.464999         0.00
   52.469999         0.20
   52.474999         2.20
   52.479999         4.60
   52.484999         3.60
   52.489999         3.60
   52.494999         2.80
   52.499999         3.00
   52.504999         3.20
   52.509999         3.80
   52.514999         5.60
   52.519999         0.20
   52.524999         0.80
   52.529999         0.20
   52.534999         0.20
   52.539999         0.00
   52.544999         3.20
   52.549999         3.40
   52.554999         6.00
   52.559999         4.00
   52.564999         3.80
   52.569999         4.80
   52.574999         1.80
   52.579999         0.00
   52.584999         0.20
   52.589999         0.00
   52.594999         0.80
   52.599999         2.80
   52.604999         5.20
   52.609999         3.80
   52.614999         4.20
   52.619999         4.60
   52.624999         5.00
   52.629999         3.60
   52.634999         5.40
   52.639999         4.00
   52.644999         2.60
   52.649999         4.20
   52.654999         5.40
   52.659999         2.60
   52.664999         5.20
   52.669999         3.00
   52.674999         5.40
   52.679999         4.20
   52.684999         4.40
   52.689999         2.20
   52.694999         2.60
   52.699999         7.40
   52.704999         4.80
   52.709999         5.60
   52.714999         3.80
   52.719999         4.20
   52.724999         4.80
   52.729999         5.60
   52.734999         5.00
   52.739999         3.00
   52.744999         5.60
   52.749999         4.60
   52.754999         4.00
   52.759999         5.00
   52.764999         4.60
   52.769999         2.60
   52.774999         4.80
   52.779999         3.80
   52.784999         5.20
   52.789999         4.20
   52.794999         3.60
   52.799999         3.20
   52.804999         4.60
   52.809999         7.00
   52.814999         3.80
   52.819999         5.40
   52.824999         5.00
   52.829999         5.40
   52.834999         5.80
   52.839999         5.00
   52.844999         1.80
   52.849999         0.00
   52.854999         0.00
   52.859999         0.00
   52.864999         0.20
   52.869999         0.00
   52.874999         0.20
   52.879999         0.20
   52.884999         0.00
   52.889999         0.00
   52.894999         2.80
   52.899999         1.20
   52.904999         0.00
   52.909999         0.40
   52.914999         0.40
   52.919999         0.40
   52.924999         0.00
   52.929999         0.00
   52.934999         0.20
   52.939999         0.20
   52.944999         0.00
   52.949999         0.20
   52.954999         0.00
   52.959999         0.20
   52.964999         0.00
   52.969999         0.20
   52.974999         0.20
   52.979999         0.40
   52.984999         0.20
   52.989999         0.80
   52.994999         0.20
   52.999999         0.20
   53.004999         1.00
   53.009999         0.00
   53.014999         0.20
   53.019999         0.00
   53.024999         0.00
   53.029999         0.60
   53.034999         0.20
   53.039999         0.20
   53.044999         0.00
   53.049999         0.20
   53.054999         0.40
   53.059999         0.00
   53.064999         0.20
   53.069999         0.00
   53.074999         0.00
   53.079999         0.20
   53.084999         0.40
   53.089999         0.00
   53.094999         0.00
   53.099999         0.20
   53.104999         0.00
   53.109999         0.40
   53.114999         0.20
   53.119999         0.00
   53.124999         0.20
   53.129999         0.20
   53.134999         0.00
   53.139999         0.20
   53.144999         0.20
   53.149999         0.20
   53.154999         0.00
   53.159999         0.40
   53.164999         0.20
   53.169999         0.00
   53.174999         0.00
   53.179999         0.00
   53.184999         0.20
   53.189999         0.40
   53.194999         0.00
   53.199999         0.20
   53.204999         0.40
   53.209999         0.00
   53.214999         0.20
   53.219999         0.00
   53.224999         0.00
   53.229999         0.00
   53.234999         0.20
   53.239999         0.00
   53.244999         0.00
   53.249999         0.00
   53.254999         0.60
   53.259999         0.20
   53.264999         0.20
   53.269999         0.40
   53.274999         0.20
   53.279999         0.60
   53.284999         0.20
   53.289999         0.20
   53.294999         0.20
   53.299999         0.00
   53.304999         0.00
   53.309999         0.00
   53.314999         0.20
   53.319999         0.80
   53.324999         0.00
   53.329999         0.00
   53.334999         0.00
   53.339999         0.60
   53.344999         0.00
   53.349999         0.00
   53.354999         0.20
   53.359999         0.00
   53.364999         0.00
   53.369999         0.20
   53.374999         0.00
   53.379999         0.20
   53.384999         0.20
   53.389999         2.60
   53.394999         3.60
   53.399999         3.20
   53.404999         3.80
   53.409999         3.20
   53.414999         4.20
   53.419999         3.00
   53.424999         3.40
   53.429999         0.20
   53.434999         0.00
   53.439999         0.00
   53.444999         0.00
   53.449999         0.00
   53.454999         0.00
   53.459999         0.00
   53.464999         0.00
   53.469999         0.20
   53.474999         0.20
   53.479999         0.00
   53.484999         0.00
   53.489999         0.00
   53.494999         0.40
   53.499999         0.40
   53.504999         0.20
   53.509999         0.40
   53.514999         0.20
   53.519999         0.20
   53.524999         0.00
   53.529999         0.40
   53.534999         0.20
   53.539999         0.40
   53.544999         0.00
   53.549999         0.00
   53.554999         0.00
   53.559999         0.20
   53.564999         0.20
   53.569999         0.20
   53.574999         0.40
   53.579999         0.20
   53.584999         0.00
   53.589999         0.40
   53.594999         0.00
   53.599999         0.00
   53.604999         0.20
   53.609999         0.00
   53.614999         0.40
   53.619999         0.20
   53.624999         0.20
   53.629999         0.00
   53.634999         0.00
   53.639999         0.80
   53.644999         0.60
   53.649999         0.00
   53.654999         0.00
   53.659999         0.00
   53.664999         0.20
   53.669999         0.00
   53.674999         0.80
   53.679999         0.00
   53.684999         0.20
   53.689999         0.40
   53.694999         0.00
   53.699999         0.00
   53.704999         0.20
   53.709999         0.40
   53.714999         0.60
   53.719999         0.20
   53.724999         0.00
   53.729999         0.60
   53.734999         0.60
   53.739999         0.00
   53.744999         2.80
   53.749999         6.80
   53.754999         0.80
   53.759999         0.00
   53.764999         0.20
   53.769999         0.00
   53.774999         0.00
   53.779999         0.00
   53.784999         0.20
   53.789999         0.40
   53.794999         0.00
   53.799999         0.20
   53.804999         0.20
   53.809999         0.00
   53.814999         0.20
   53.819999         0.40
   53.824999         0.20
   53.829999         0.00
   53.834999         0.00
   53.839999         0.20
   53.844999         0.00
   53.849999         0.00
   53.854999         0.20
   53.859999         0.40
   53.864999         0.00
   53.869999         0.00
   53.874999         0.00
   53.879999         0.20
   53.884999         0.40
   53.889999         0.00
   53.894999         0.20
   53.899999         0.00
   53.904999         0.00
   53.909999         0.40
   53.914999         0.00
   53.919999         0.40
   53.924999         0.00
   53.929999         1.00
   53.934999         2.80
   53.939999         5.00
   53.944999         3.80
   53.949999         6.40
   53.954999         4.80
   53.959999         5.00
   53.964999         4.80
   53.969999         3.40
   53.974999         5.00
   53.979999         0.00
   53.984999         0.20
   53.989999         0.40
   53.994999         0.40
   53.999999         0.00
   54.004999         0.40
   54.009999         0.20
   54.014999         0.00
   54.019999         0.00
   54.024999         0.00
   54.029999         0.40
   54.034999         0.00
   54.039999         0.20
   54.044999         0.20
   54.049999         0.40
   54.054999         0.00
   54.059999         0.00
   54.064999         0.00
   54.069999         0.40
   54.074999         0.00
   54.079999         0.20
   54.084999         0.00
   54.089999         0.40
   54.094999         0.20
   54.099999         0.00
   54.104999         0.60
   54.109999         0.20
   54.114999         0.00
   54.119999         0.00
   54.124999         0.00
   54.129999         0.40
   54.134999         0.00
   54.139999         0.40
   54.144999         0.00
   54.149999         0.00
   54.154999         0.40
   54.159999         0.40
   54.164999         0.20
   54.169999         0.40
   54.174999         0.60
   54.179999         0.00
   54.184999         0.00
   54.189999         0.00
   54.194999         0.20
   54.199999         0.00
   54.204999         0.20
   54.209999         0.40
   54.214999         0.00
   54.219999         0.20
   54.224999         0.00
   54.229999         0.40
   54.234999         0.00
   54.239999         0.00
   54.244999         0.20
   54.249999         0.20
   54.254999         0.20
   54.259999         0.00
   54.264999         0.40
   54.269999         0.00
   54.274999         5.20
   54.279999         3.60
   54.284999         3.00
   54.289999         2.80
   54.294999         3.60
   54.299999         3.40
   54.304999         2.40
   54.309999         5.80
   54.314999         5.20
   54.319999         4.60
   54.324999         4.20
   54.329999         3.40
   54.334999         5.20
   54.339999         5.00
   54.344999         3.40
   54.349999         4.40
   54.354999         3.60
   54.359999         3.80
   54.364999         4.40
   54.369999         5.60
   54.374999         3.00
   54.379999         5.00
   54.384999         4.40
   54.389999         4.80
   54.394999         3.80
   54.399999         5.20
   54.404999         3.60
   54.409999         5.20
   54.414999         3.60
   54.419999         5.20
   54.424999         4.40
   54.429999         5.80
   54.434999         5.40
   54.439999         4.60
   54.444999         4.60
   54.449999         5.20
   54.454999         4.40
   54.459999         4.40
   54.464999         4.00
   54.469999         5.00
   54.474999         4.40
   54.479999         4.20
   54.484999         7.40
   54.489999         4.60
   54.494999         5.60
   54.499999         4.20
   54.504999         4.80
   54.509999         4.80
   54.514999         4.40
   54.519999         6.60
   54.524999         6.40
   54.529999         4.80
   54.534999         4.60
   54.539999         7.00
   54.544999         3.60
   54.549999         3.60
   54.554999         7.20
   54.559999         4.80
   54.564999         5.60
