 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 4.49999992270023E-0004  1.00587916823071E+0000  3.02054161328866E+0001  1.00587916823071E+0000  3.02054161328866E+0001  1.00587916823071E+0000  3.02054161328866E+0001
 5.49999997019768E-0004  1.08338065001965E+0000  3.96013722453832E+0001  1.08338065001965E+0000  3.96013722453832E+0001  1.08338065001965E+0000  3.96013722453832E+0001
 6.50000001769513E-0004  1.05433330612142E+0000  4.37915062786766E+0001  1.05433330612142E+0000  4.37915062786766E+0001  1.05433330612142E+0000  4.37915062786766E+0001
 7.50000006519258E-0004  9.85643287210477E-0001  4.24389008103063E+0001  9.85643287210477E-0001  4.24389008103063E+0001  9.85643287210477E-0001  4.24389008103063E+0001
 8.99999984540045E-0004  1.03190993905743E+0000  3.43562560032206E+0001  1.03190993905743E+0000  3.43562560032206E+0001  1.03190993905743E+0000  3.43562560032206E+0001
 1.09999999403953E-0003  1.01607334400750E+0000  4.57162625784756E+0001  1.01607334400750E+0000  4.57162625784756E+0001  1.01607334400750E+0000  4.57162625784756E+0001
 1.30000000353902E-0003  1.01744233076843E+0000  4.65107731625954E+0001  1.01744233076843E+0000  4.65107731625954E+0001  1.01744233076843E+0000  4.65107731625954E+0001
 1.50000001303851E-0003  1.08305890605916E+0000  4.72637131060045E+0001  1.08305890605916E+0000  4.72637131060045E+0001  1.08305890605916E+0000  4.72637131060045E+0001
 1.70000002253801E-0003  1.08095025912392E+0000  6.20404405668674E+0001  1.08095025912392E+0000  6.20404405668674E+0001  1.08095025912392E+0000  6.20404405668674E+0001
 1.90000003203750E-0003  1.04851937545319E+0000  3.24321253901186E+0001  1.04851937545319E+0000  3.24321253901186E+0001  1.04851937545319E+0000  3.24321253901186E+0001
 2.09999992512166E-0003  1.06841478660414E+0000  5.17118686802360E+0001  1.06841478660414E+0000  5.17118686802360E+0001  1.06841478660414E+0000  5.17118686802360E+0001
 2.30000005103648E-0003  1.05491856312269E+0000  4.09732674801426E+0001  1.05491856312269E+0000  4.09732674801426E+0001  1.05491856312269E+0000  4.09732674801426E+0001
 2.60000000707805E-0003  1.03783169337428E+0000  8.56837839643551E+0001  1.03783169337428E+0000  8.56837839643551E+0001  1.03783169337428E+0000  8.56837839643551E+0001
 3.00000002607703E-0003  1.04385729840307E+0000  9.59347354283239E+0001  1.04385729840307E+0000  9.59347354283239E+0001  1.04385729840307E+0000  9.59347354283239E+0001
 3.40000004507601E-0003  1.03267991840301E+0000  1.12033279284058E+0002  1.03267991840301E+0000  1.12033279284058E+0002  1.03267991840301E+0000  1.12033279284058E+0002
 3.80000006407499E-0003  1.07217266488416E+0000  8.68329526992269E+0001  1.07217266488416E+0000  8.68329526992269E+0001  1.07217266488416E+0000  8.68329526992269E+0001
 4.19999985024333E-0003  1.07123449733687E+0000  1.63875410242262E+0002  1.07123449733687E+0000  1.63875410242262E+0002  1.07123449733687E+0000  1.63875410242262E+0002
 4.60000010207295E-0003  1.07143152192301E+0000  6.94684141570117E+0001  1.07143152192301E+0000  6.94684141570117E+0001  1.07143152192301E+0000  6.94684141570117E+0001
